"bullet","land","x","value","id","raw_sig","se","sig"
"Bullet 2","Land 2",1865.34,44.1971388888889,11,0.6114352433557,0.0560991315444508,0.555645836149772
"Bullet 2","Land 2",1865.985,44.0014077777778,11,0.528406217898372,0.0561806499458553,0.554221785414291
"Bullet 2","Land 2",1866.63,43.8994495555556,11,0.539242092179869,0.0562628047315536,0.553420764462426
"Bullet 2","Land 2",1867.275,43.8356736666667,11,0.588352317343471,0.0563455970771654,0.551825864787673
"Bullet 2","Land 2",1867.92,43.7435901111111,11,0.609246900088031,0.0564290281378068,0.548020177883528
"Bullet 2","Land 2",1868.565,43.5910727777778,11,0.569799736001279,0.0565130990480798,0.540586795243487
"Bullet 2","Land 2",1869.21,43.3792467777778,11,0.471135942893127,0.0565978109220649,0.528108808361045
"Bullet 2","Land 2",1869.855,43.1222422222222,11,0.32738563857356,0.0566831648533173,0.509169308729697
"Bullet 2","Land 2",1870.5,42.8910935555556,11,0.209583274185817,0.0567691619148659,0.485914723219945
"Bullet 2","Land 2",1871.145,42.7692615555556,11,0.201189634206557,0.0568558031592164,0.46149695406785
"Bullet 2","Land 2",1871.79,42.7554107777778,11,0.300869280890161,0.0569430896183569,0.436007305815256
"Bullet 2","Land 2",1872.435,42.7907602222222,11,0.44984122093544,0.0570310223037674,0.409537083004006
"Bullet 2","Land 2",1873.08,42.7851467777778,11,0.557942349930187,0.0571196022064326,0.382177590175931
"Bullet 2","Land 2",1873.725,42.6335133333333,11,0.520115563462028,0.0572088302968569,0.354020131872895
"Bullet 2","Land 2",1874.37,42.3402594444444,11,0.340760423785419,0.057298707525084,0.325156012636729
"Bullet 2","Land 2",1875.015,42.1075257777778,11,0.222017604265822,0.0573892348207189,0.295676537009276
"Bullet 2","Land 2",1875.66,42.0276352222222,11,0.256210000491002,0.0574804130929531,0.265673009532379
"Bullet 2","Land 2",1876.305,42.0324248888889,11,0.375174730270892,0.0575722432305928,0.235236734747881
"Bullet 2","Land 2",1876.95,42.038223,11,0.495240022526545,0.057664726102091,0.201655504339141
"Bullet 2","Land 2",1877.595,41.984612,11,0.555988328401263,0.0577578625555814,0.162898123354651
"Bullet 2","Land 2",1878.24,41.827033,11,0.512860765704964,0.0578516534189163,0.120077416383947
"Bullet 2","Land 2",1878.885,41.5523118888889,11,0.352683230025391,0.0579460994997071,0.0743062080165672
"Bullet 2","Land 2",1879.53,41.2378858888889,11,0.152892950283594,0.058041201585368,0.0266973228420506
"Bullet 2","Land 2",1880.175,40.9738038888889,11,0.0035388220672985,0.0581369604431623,-0.0216364145500655
"Bullet 2","Land 2",1880.82,40.7383988888889,11,-0.117046147924604,0.0582333768202517,-0.0695821795702597
"Bullet 2","Land 2",1881.465,40.5109226666667,11,-0.229610175215605,0.0583304514437487,-0.11602714762896
"Bullet 2","Land 2",1882.11,40.3428554444444,11,-0.282673030884574,0.0584281850207714,-0.159858494136646
"Bullet 2","Land 2",1882.755,40.2532795555556,11,-0.257152374899363,0.0585265782385018,-0.199963394503779
"Bullet 2","Land 2",1883.4,40.1965396666667,11,-0.198703533894459,0.0586256317642459,-0.235229024140821
"Bullet 2","Land 2",1884.045,40.1089594444444,11,-0.171002834504385,0.058725346245497,-0.268598661509862
"Bullet 2","Land 2",1884.69,39.9568444444444,11,-0.207744714474728,0.0588257223100021,-0.303466894893883
"Bullet 2","Land 2",1885.335,39.7766086666667,11,-0.272515167106633,0.05892676056583,-0.339397864434689
"Bullet 2","Land 2",1885.98,39.6045911111111,11,-0.328975185701296,0.0590284616014428,-0.375955710274081
"Bullet 2","Land 2",1886.625,39.4059776666667,11,-0.41193887467098,0.0591308259857693,-0.412704572553863
"Bullet 2","Land 2",1887.27,39.1232407777778,11,-0.578933782872404,0.0592338542682817,-0.449208591415837
"Bullet 2","Land 2",1887.915,38.7675386666667,11,-0.818801681384507,0.059337546979074,-0.485031907001805
"Bullet 2","Land 2",1888.56,38.45507,11,-1.01534389684179,0.0594419046289431,-0.519738659453572
"Bullet 2","Land 2",1889.205,38.2702846666667,11,-1.08411053365648,0.0595469277094725,-0.55289298891295
"Bullet 2","Land 2",1889.85,38.1851863333333,11,-1.05309791846317,0.0596526166931181,-0.584059035521719
"Bullet 2","Land 2",1890.495,38.1398686666667,11,-0.982212377896289,0.0597589720332964,-0.612800939421694
"Bullet 2","Land 2",1891.14,38.1066366666667,11,-0.899148905257036,0.0598659941644748,-0.640221676874222
"Bullet 2","Land 2",1891.785,38.0883465555556,11,-0.801051271624324,0.0599736835022643,-0.667576979614257
"Bullet 2","Land 2",1892.43,38.0848894444444,11,-0.688028359188223,0.0600820404435143,-0.694660120994007
"Bullet 2","Land 2",1893.075,38.0676606666667,11,-0.588684827916573,0.0601910653664097,-0.721264374365679
"Bullet 2","Land 2",1893.72,37.9971082222222,11,-0.542572671110499,0.0603007586305694,-0.747183013081484
"Bullet 2","Land 2",1894.365,37.8779963333333,11,-0.544927659848966,0.0604111205771479,-0.772209310493631
"Bullet 2","Land 2",1895.01,37.7623586666667,11,-0.543716120766483,0.0605221515289379,-0.796136539954326
"Bullet 2","Land 2",1895.655,37.6656263333333,11,-0.523506936053082,0.0606338517904756,-0.818757974815779
"Bullet 2","Land 2",1896.3,37.5458931111111,11,-0.526206321232159,0.0607462216481473,-0.8398668884302
"Bullet 2","Land 2",1896.945,37.3414312222222,11,-0.613542047382609,0.0608592613702983,-0.859256554149803
"Bullet 2","Land 2",1897.59,37.0453624444444,11,-0.792392330027916,0.0609729712073429,-0.876720245326784
"Bullet 2","Land 2",1898.235,36.7673702222222,11,-0.953073718024733,0.0610873513918776,-0.891656608513687
"Bullet 2","Land 2",1898.88,36.6009864444444,11,-1.00205431578535,0.0612024021387942,-0.9038815342002
"Bullet 2","Land 2",1899.525,36.5247807777778,11,-0.960764449944271,0.061318123645396,-0.913814161644258
"Bullet 2","Land 2",1900.17,36.483382,11,-0.884575336024859,0.0614345160915148,-0.921873630103792
"Bullet 2","Land 2",1900.815,36.4328821111111,11,-0.817394967328291,0.0615515796396299,-0.928479078836735
"Bullet 2","Land 2",1901.46,36.343777,11,-0.788727448266847,0.0616693144349884,-0.934049647101021
"Bullet 2","Land 2",1902.105,36.2089511111111,11,-0.805688327697233,0.061787720605727,-0.939004474154583
"Bullet 2","Land 2",1902.75,36.0538142222222,11,-0.842867821142868,0.0619067982629955,-0.943762699255354
"Bullet 2","Land 2",1903.395,35.9000996666667,11,-0.878532588571531,0.0620265475010812,-0.948743461661266
"Bullet 2","Land 2",1904.04,35.740035,11,-0.920455067728874,0.0621469683975352,-0.954365900630253
"Bullet 2","Land 2",1904.685,35.5764693333333,11,-0.965786140804923,0.0622680610132996,-0.959368686113857
"Bullet 2","Land 2",1905.33,35.432305,11,-0.991623467767475,0.0623898253928361,-0.962438714016234
"Bullet 2","Land 2",1905.975,35.3091352222222,11,-0.996373819695556,0.0625122615642558,-0.963917462524238
"Bullet 2","Land 2",1906.62,35.1586115555556,11,-1.02838563433473,0.0626353695394502,-0.964146409824726
"Bullet 2","Land 2",1907.265,34.9321575555556,11,-1.13623534943061,0.0627591493142232,-0.963467034104554
"Bullet 2","Land 2",1907.91,34.6919714444444,11,-1.25772473606215,0.0628836008684245,-0.962220813550576
"Bullet 2","Land 2",1908.555,34.5364631111111,11,-1.29444389864159,0.0630087241660832,-0.960749226349648
"Bullet 2","Land 2",1909.2,34.4579524444444,11,-1.25407294158124,0.0631345191555438,-0.959393750688626
"Bullet 2","Land 2",1909.845,34.4064515555556,11,-1.18659974707111,0.0632609857696014,-0.958495864754365
"Bullet 2","Land 2",1910.49,34.3475822222222,11,-1.12640253063464,0.0633881239256394,-0.95839704673372
"Bullet 2","Land 2",1911.135,34.2732584444444,11,-1.08156728557295,0.0635159335257673,-0.959438774813548
"Bullet 2","Land 2",1911.78,34.2029697777778,11,-1.03260444963168,0.0636444144569588,-0.959182425139148
"Bullet 2","Land 2",1912.425,34.1512837777778,11,-0.964946460556412,0.0637735665911918,-0.955483403614593
"Bullet 2","Land 2",1913.07,34.1079158888889,11,-0.888877867203831,0.0639033897855885,-0.94912423306489
"Bullet 2","Land 2",1913.715,34.0447708888889,11,-0.832493885097406,0.064033883882556,-0.940887436315056
"Bullet 2","Land 2",1914.36,33.9247966666667,11,-0.832846618649398,0.0641650487099279,-0.931555536190099
"Bullet 2","Land 2",1915.005,33.7390853333333,11,-0.898843950049809,0.0642968840811065,-0.92191105551503
"Bullet 2","Land 2",1915.65,33.5445324444444,11,-0.973590317044291,0.0644293897952053,-0.912736517114859
"Bullet 2","Land 2",1916.295,33.4089734444444,11,-0.989250268489535,0.0645625656371922,-0.904814443814598
"Bullet 2","Land 2",1916.94,33.34977,11,-0.928462131020055,0.0646964113780332,-0.898927358439257
"Bullet 2","Land 2",1917.585,33.3437047777778,11,-0.814443231270339,0.0648309267748366,-0.895857783813846
"Bullet 2","Land 2",1918.23,33.3486072222222,11,-0.689364118097117,0.064966111570997,-0.896388242763378
"Bullet 2","Land 2",1918.875,33.3249957777778,11,-0.59270634035709,0.0651019654963407,-0.899111062358913
"Bullet 2","Land 2",1919.52,33.253644,11,-0.543696335795879,0.0652384882672707,-0.902114623600452
"Bullet 2","Land 2",1920.165,33.1353123333333,11,-0.541573653270206,0.065375679586912,-0.90542553020641
"Bullet 2","Land 2",1920.81,32.958268,11,-0.598071063859003,0.0655135391452574,-0.909070385895202
"Bullet 2","Land 2",1921.455,32.6763812222222,11,-0.759318338641179,0.0656520666193134,-0.913075794385247
"Bullet 2","Land 2",1922.1,32.3427832222222,11,-0.972184248695754,0.0657912616732463,-0.917468359394957
"Bullet 2","Land 2",1922.745,32.1053676666667,11,-1.08877512065718,0.0659311239585284,-0.922274684642749
"Bullet 2","Land 2",1923.39,31.9744997777778,11,-1.0987257256044,0.0660716531140845,-0.927521373847038
"Bullet 2","Land 2",1924.035,31.8957966666667,11,-1.05641894572748,0.0662128487664381,-0.933235030726242
"Bullet 2","Land 2",1924.68,31.8285143333333,11,-1.00259877432756,0.0663547105298576,-0.939442258998775
"Bullet 2","Land 2",1925.325,31.7405926666667,11,-0.969325315816928,0.0664972380065033,-0.946169662383053
"Bullet 2","Land 2",1925.97,31.6208103333333,11,-0.967819896830076,0.0666404307865735,-0.955396902250909
"Bullet 2","Land 2",1926.615,31.5087126666667,11,-0.958537177334847,0.0667842884484506,-0.968470378957745
"Bullet 2","Land 2",1927.26,31.4342203333333,11,-0.911556483965718,0.0669288105588478,-0.984466804697327
"Bullet 2","Land 2",1927.905,31.3468614444444,11,-0.87734969891277,0.0670739966729549,-1.00246289166342
"Bullet 2","Land 2",1928.55,31.1803781111111,11,-0.922174704366018,0.0672198463345842,-1.0215353520498
"Bullet 2","Land 2",1929.195,30.9844637777778,11,-0.996338049182178,0.0673663590763166,-1.04076089805023
"Bullet 2","Land 2",1929.84,30.8272873333333,11,-1.03167083777359,0.0675135344196467,-1.05921624185847
"Bullet 2","Land 2",1930.485,30.7127984444444,11,-1.0242233967747,0.0676613718751283,-1.07597809566829
"Bullet 2","Land 2",1931.13,30.6309575555556,11,-0.984035275042242,0.0678098709425195,-1.09012317167346
"Bullet 2","Land 2",1931.775,30.5733373333333,11,-0.919533799210704,0.0679590311109272,-1.10072818206774
"Bullet 2","Land 2",1932.42,30.5042314444444,11,-0.866425295914585,0.0681088518589516,-1.1088956416471
"Bullet 2","Land 2",1933.065,30.3303707777778,11,-0.917978869566173,0.0682593326548301,-1.11643995774502
"Bullet 2","Land 2",1933.71,29.9785924444444,11,-1.1473574023555,0.0684104729565811,-1.12350568136158
"Bullet 2","Land 2",1934.355,29.6130315555556,11,-1.39042577647263,0.0685622722121468,-1.13023736349688
"Bullet 2","Land 2",1935,29.3703755555556,11,-1.51049654077429,0.0687147298595365,-1.13677955515099
"Bullet 2","Land 2",1935.645,29.2077991111111,11,-1.55039502189495,0.0688678453269685,-1.14327680732399
